run, id, cycles, Branch direction mis, Branch target mis, Correct
10, 16, 74901, 313, 44, TRUE

10, 17, 74594, 313, 36, TRUE

10, 18, 74901, 313, 44, TRUE

10, 19, 77283, 313, 36, TRUE

11, 0, 388527, 328, 82, TRUE

11, 1, 74748, 318, 81, TRUE

11, 2, 74920, 315, 48, TRUE

11, 3, 77280, 313, 35, TRUE

11, 4, 74970, 313, 67, TRUE

11, 5, 74588, 313, 34, TRUE

11, 6, 74970, 313, 67, TRUE

11, 7, 77277, 313, 34, TRUE

11, 8, 74970, 313, 67, TRUE

11, 9, 74588, 313, 34, TRUE

11, 10, 74970, 313, 67, TRUE

11, 11, 77277, 313, 34, TRUE

11, 12, 74970, 313, 67, TRUE

11, 13, 74588, 313, 34, TRUE

11, 14, 74970, 313, 67, TRUE

11, 15, 77277, 313, 34, TRUE

11, 16, 74970, 313, 67, TRUE

11, 17, 74588, 313, 34, TRUE

11, 18, 74970, 313, 67, TRUE

11, 19, 77277, 313, 34, TRUE

12, 0, 388533, 330, 82, TRUE

12, 1, 74748, 318, 81, TRUE

12, 2, 74920, 315, 48, TRUE

12, 3, 77280, 313, 35, TRUE

12, 4, 74970, 313, 67, TRUE

12, 5, 74588, 313, 34, TRUE

12, 6, 74970, 313, 67, TRUE

12, 7, 77277, 313, 34, TRUE

12, 8, 74970, 313, 67, TRUE

12, 9, 74588, 313, 34, TRUE

12, 10, 74970, 313, 67, TRUE

12, 11, 77277, 313, 34, TRUE

12, 12, 74970, 313, 67, TRUE

12, 13, 74588, 313, 34, TRUE

12, 14, 74970, 313, 67, TRUE

12, 15, 77277, 313, 34, TRUE

12, 16, 74970, 313, 67, TRUE

12, 17, 74588, 313, 34, TRUE

12, 18, 74970, 313, 67, TRUE

12, 19, 77277, 313, 34, TRUE

13, 0, 388527, 328, 82, TRUE

13, 1, 74758, 320, 82, TRUE

13, 2, 75016, 313, 84, TRUE

13, 3, 77402, 313, 77, TRUE

13, 4, 75001, 313, 80, TRUE

13, 5, 74707, 313, 75, TRUE

13, 6, 74985, 313, 74, TRUE

13, 7, 77409, 313, 80, TRUE

13, 8, 74994, 313, 78, TRUE

13, 9, 74707, 313, 75, TRUE

13, 10, 74985, 313, 74, TRUE

13, 11, 77409, 313, 80, TRUE

13, 12, 74994, 313, 78, TRUE

13, 13, 74707, 313, 75, TRUE

13, 14, 74985, 313, 74, TRUE

13, 15, 77409, 313, 80, TRUE

13, 16, 74994, 313, 78, TRUE

13, 17, 74707, 313, 75, TRUE

13, 18, 74985, 313, 74, TRUE

13, 19, 77409, 313, 80, TRUE

14, 0, 388469, 330, 58, TRUE

14, 1, 74651, 318, 52, TRUE

14, 2, 74911, 315, 46, TRUE

14, 3, 77309, 313, 45, TRUE

14, 4, 74901, 313, 44, TRUE

14, 5, 74620, 313, 45, TRUE

14, 6, 74901, 313, 44, TRUE

14, 7, 77309, 313, 45, TRUE

14, 8, 74901, 313, 44, TRUE

14, 9, 74620, 313, 45, TRUE

14, 10, 74901, 313, 44, TRUE

14, 11, 77309, 313, 45, TRUE

14, 12, 74901, 313, 44, TRUE

14, 13, 74620, 313, 45, TRUE

14, 14, 74901, 313, 44, TRUE

14, 15, 77309, 313, 45, TRUE

14, 16, 74901, 313, 44, TRUE

14, 17, 74620, 313, 45, TRUE

14, 18, 74901, 313, 44, TRUE

14, 19, 77309, 313, 45, TRUE

15, 0, 388452, 327, 55, TRUE

15, 1, 74651, 318, 52, TRUE

15, 2, 74911, 315, 46, TRUE

15, 3, 77309, 313, 45, TRUE

15, 4, 74901, 313, 44, TRUE

15, 5, 74620, 313, 45, TRUE

15, 6, 74901, 313, 44, TRUE

15, 7, 77309, 313, 45, TRUE

15, 8, 74901, 313, 44, TRUE

15, 9, 74620, 313, 45, TRUE

15, 10, 74901, 313, 44, TRUE

15, 11, 77309, 313, 45, TRUE

15, 12, 74901, 313, 44, TRUE

15, 13, 74620, 313, 45, TRUE

15, 14, 74901, 313, 44, TRUE

15, 15, 77309, 313, 45, TRUE

15, 16, 74901, 313, 44, TRUE

15, 17, 74620, 313, 45, TRUE

15, 18, 74901, 313, 44, TRUE

15, 19, 77309, 313, 45, TRUE

16, 0, 388533, 330, 82, TRUE

16, 1, 74746, 318, 80, TRUE

16, 2, 74920, 315, 48, TRUE

16, 3, 77280, 313, 35, TRUE

16, 4, 74970, 313, 67, TRUE

16, 5, 74588, 313, 34, TRUE

16, 6, 74970, 313, 67, TRUE

16, 7, 77277, 313, 34, TRUE

16, 8, 74970, 313, 67, TRUE

16, 9, 74588, 313, 34, TRUE

16, 10, 74970, 313, 67, TRUE

16, 11, 77277, 313, 34, TRUE

16, 12, 74970, 313, 67, TRUE

16, 13, 74588, 313, 34, TRUE

16, 14, 74970, 313, 67, TRUE

16, 15, 77277, 313, 34, TRUE

16, 16, 74970, 313, 67, TRUE

16, 17, 74588, 313, 34, TRUE

16, 18, 74970, 313, 67, TRUE

16, 19, 77277, 313, 34, TRUE

17, 0, 388467, 329, 58, TRUE

17, 1, 74651, 318, 52, TRUE

17, 2, 74911, 315, 46, TRUE

17, 3, 77309, 313, 45, TRUE

17, 4, 74901, 313, 44, TRUE

17, 5, 74620, 313, 45, TRUE

17, 6, 74901, 313, 44, TRUE

17, 7, 77309, 313, 45, TRUE

17, 8, 74901, 313, 44, TRUE

17, 9, 74620, 313, 45, TRUE

17, 10, 74901, 313, 44, TRUE

17, 11, 77309, 313, 45, TRUE

17, 12, 74901, 313, 44, TRUE

17, 13, 74620, 313, 45, TRUE

17, 14, 74901, 313, 44, TRUE

17, 15, 77309, 313, 45, TRUE

17, 16, 74901, 313, 44, TRUE

17, 17, 74620, 313, 45, TRUE

17, 18, 74901, 313, 44, TRUE

17, 19, 77309, 313, 45, TRUE

18, 0, 388530, 329, 82, TRUE

18, 1, 74746, 318, 80, TRUE

18, 2, 74920, 315, 48, TRUE

18, 3, 77280, 313, 35, TRUE

18, 4, 74970, 313, 67, TRUE

18, 5, 74588, 313, 34, TRUE

18, 6, 74970, 313, 67, TRUE

18, 7, 77277, 313, 34, TRUE

18, 8, 74970, 313, 67, TRUE

18, 9, 74588, 313, 34, TRUE

18, 10, 74970, 313, 67, TRUE

18, 11, 77277, 313, 34, TRUE

18, 12, 74970, 313, 67, TRUE

18, 13, 74588, 313, 34, TRUE

18, 14, 74970, 313, 67, TRUE

