run, id, cycles, Branch direction mis, Load-use interlock, Correct
32, 4, 92592, 621, 658, TRUE

32, 5, 92593, 619, 659, TRUE

32, 6, 92606, 621, 659, TRUE

32, 7, 92592, 619, 660, TRUE

32, 8, 92593, 621, 658, TRUE

32, 9, 92593, 619, 659, TRUE

32, 10, 92606, 621, 659, TRUE

32, 11, 92592, 619, 660, TRUE

32, 12, 92593, 621, 658, TRUE

32, 13, 92593, 619, 659, TRUE

32, 14, 92606, 621, 659, TRUE

32, 15, 92592, 619, 660, TRUE

32, 16, 92593, 621, 658, TRUE

32, 17, 92593, 619, 659, TRUE

32, 18, 92606, 621, 659, TRUE

32, 19, 92592, 619, 660, TRUE

33, 0, 311344, 652, 653, TRUE

33, 1, 97437, 629, 669, TRUE

