run, id, cycles, Branch direction mis, Branch target mis, Correct
13, 13, 56096257, 264616, 52360, TRUE

13, 14, 56112658, 264617, 52358, TRUE

13, 15, 56067573, 264617, 52221, TRUE

13, 16, 56073309, 264615, 52007, TRUE

13, 17, 56058425, 264618, 52360, TRUE

13, 18, 56075141, 264616, 52361, TRUE

13, 19, 56104319, 264617, 52359, TRUE

14, 0, 57130589, 264612, 51952, TRUE

14, 1, 56224041, 264616, 52219, TRUE

14, 2, 56127541, 264616, 52359, TRUE

14, 3, 56112756, 264616, 52108, TRUE

14, 4, 56132153, 264616, 52107, TRUE

14, 5, 56080911, 264621, 52109, TRUE

14, 6, 56044196, 264617, 52151, TRUE

14, 7, 56101980, 264617, 52151, TRUE

14, 8, 56025087, 264616, 52219, TRUE

14, 9, 56102328, 264616, 52359, TRUE

14, 10, 56048731, 264618, 52220, TRUE

14, 11, 56094817, 264616, 52359, TRUE

14, 12, 56072790, 264616, 52220, TRUE

14, 13, 56096257, 264616, 52360, TRUE

14, 14, 56112660, 264617, 52359, TRUE

14, 15, 56067285, 264615, 52150, TRUE

14, 16, 56073309, 264615, 52007, TRUE

14, 17, 56058425, 264618, 52360, TRUE

14, 18, 56075138, 264616, 52360, TRUE

14, 19, 56104319, 264617, 52359, TRUE

15, 0, 57131084, 264612, 52099, TRUE

15, 1, 56224041, 264616, 52219, TRUE

15, 2, 56127541, 264616, 52359, TRUE

15, 3, 56112756, 264616, 52108, TRUE

15, 4, 56132153, 264616, 52107, TRUE

15, 5, 56080911, 264621, 52109, TRUE

15, 6, 56044196, 264617, 52151, TRUE

15, 7, 56101980, 264617, 52151, TRUE

15, 8, 56025087, 264616, 52219, TRUE

15, 9, 56102328, 264616, 52359, TRUE

15, 10, 56048731, 264618, 52220, TRUE

15, 11, 56094817, 264616, 52359, TRUE

15, 12, 56072790, 264616, 52220, TRUE

15, 13, 56096257, 264616, 52360, TRUE

15, 14, 56112660, 264617, 52359, TRUE

15, 15, 56067285, 264615, 52150, TRUE

15, 16, 56073309, 264615, 52007, TRUE

15, 17, 56058425, 264618, 52360, TRUE

15, 18, 56075141, 264616, 52361, TRUE

15, 19, 56104319, 264617, 52359, TRUE

16, 0, 57131075, 264612, 52096, TRUE

16, 1, 56223558, 264617, 52075, TRUE

16, 2, 56127541, 264616, 52359, TRUE

16, 3, 56112756, 264616, 52108, TRUE

16, 4, 56132153, 264616, 52107, TRUE

16, 5, 56080911, 264621, 52109, TRUE

16, 6, 56044196, 264617, 52151, TRUE

16, 7, 56101980, 264617, 52151, TRUE

16, 8, 56025087, 264616, 52219, TRUE

16, 9, 56102328, 264616, 52359, TRUE

16, 10, 56048731, 264618, 52220, TRUE

16, 11, 56094817, 264616, 52359, TRUE

16, 12, 56072790, 264616, 52220, TRUE

16, 13, 56096257, 264616, 52360, TRUE

16, 14, 56112660, 264617, 52359, TRUE

16, 15, 56067285, 264615, 52150, TRUE

16, 16, 56073309, 264615, 52007, TRUE

16, 17, 56058425, 264618, 52360, TRUE

16, 18, 56075138, 264616, 52360, TRUE

16, 19, 56104319, 264617, 52359, TRUE

17, 0, 57130858, 264611, 52032, TRUE

17, 1, 56224041, 264616, 52219, TRUE

17, 2, 56127541, 264616, 52359, TRUE

17, 3, 56112756, 264616, 52108, TRUE

17, 4, 56132153, 264616, 52107, TRUE

17, 5, 56080911, 264621, 52109, TRUE

17, 6, 56044196, 264617, 52151, TRUE

17, 7, 56101980, 264617, 52151, TRUE

17, 8, 56025087, 264616, 52219, TRUE

17, 9, 56102328, 264616, 52359, TRUE

17, 10, 56048731, 264618, 52220, TRUE

17, 11, 56094817, 264616, 52359, TRUE

17, 12, 56072790, 264616, 52220, TRUE

17, 13, 56096257, 264616, 52360, TRUE

17, 14, 56112658, 264617, 52358, TRUE

17, 15, 56067573, 264617, 52221, TRUE

17, 16, 56073309, 264615, 52007, TRUE

17, 17, 56058425, 264618, 52360, TRUE

17, 18, 56075138, 264616, 52360, TRUE

17, 19, 56104319, 264617, 52359, TRUE

18, 0, 57131994, 264613, 52342, TRUE

18, 1, 56224041, 264616, 52219, TRUE

18, 2, 56127042, 264616, 52219, TRUE

18, 3, 56112756, 264616, 52108, TRUE

18, 4, 56132153, 264616, 52107, TRUE

18, 5, 56080911, 264621, 52109, TRUE

18, 6, 56044196, 264617, 52151, TRUE

18, 7, 56101980, 264617, 52151, TRUE

18, 8, 56025087, 264616, 52219, TRUE

18, 9, 56102328, 264616, 52359, TRUE

18, 10, 56048731, 264618, 52220, TRUE

18, 11, 56094817, 264616, 52359, TRUE

18, 12, 56072790, 264616, 52220, TRUE

18, 13, 56096257, 264616, 52360, TRUE

18, 14, 56112658, 264617, 52358, TRUE

18, 15, 56067573, 264617, 52221, TRUE

18, 16, 56073309, 264615, 52007, TRUE

18, 17, 56058425, 264618, 52360, TRUE

18, 18, 56075138, 264616, 52360, TRUE

18, 19, 56104319, 264617, 52359, TRUE

19, 0, 57131483, 264613, 52203, TRUE

19, 1, 56224041, 264616, 52219, TRUE

19, 2, 56127541, 264616, 52359, TRUE

19, 3, 56112756, 264616, 52108, TRUE

19, 4, 56132153, 264616, 52107, TRUE

19, 5, 56080911, 264621, 52109, TRUE

19, 6, 56043713, 264618, 52007, TRUE

19, 7, 56101980, 264617, 52151, TRUE

19, 8, 56025087, 264616, 52219, TRUE

19, 9, 56102328, 264616, 52359, TRUE

19, 10, 56049230, 264618, 52360, TRUE

19, 11, 56094817, 264616, 52359, TRUE

19, 12, 56072790, 264616, 52220, TRUE

19, 13, 56096257, 264616, 52360, TRUE

19, 14, 56112658, 264617, 52358, TRUE

19, 15, 56067573, 264617, 52221, TRUE

19, 16, 56073309, 264615, 52007, TRUE

19, 17, 56058425, 264618, 52360, TRUE

19, 18, 56075141, 264616, 52361, TRUE

19, 19, 56104319, 264617, 52359, TRUE

20, 0, 57131338, 264613, 52158, TRUE

20, 1, 56224041, 264616, 52219, TRUE

20, 2, 56127541, 264616, 52359, TRUE

20, 3, 56112756, 264616, 52108, TRUE

20, 4, 56132153, 264616, 52107, TRUE

20, 5, 56080911, 264621, 52109, TRUE

20, 6, 56044196, 264617, 52151, TRUE

20, 7, 56101980, 264617, 52151, TRUE

20, 8, 56025087, 264616, 52219, TRUE

20, 9, 56102328, 264616, 52359, TRUE

20, 10, 56048731, 264618, 52220, TRUE

20, 11, 56094817, 264616, 52359, TRUE

20, 12, 56072790, 264616, 52220, TRUE

20, 13, 56096257, 264616, 52360, TRUE

20, 14, 56112658, 264617, 52358, TRUE

20, 15, 56067573, 264617, 52221, TRUE

20, 16, 56073309, 264615, 52007, TRUE

20, 17, 56058425, 264618, 52360, TRUE

20, 18, 56075141, 264616, 52361, TRUE

20, 19, 56104319, 264617, 52359, TRUE

21, 0, 57131338, 264613, 52158, TRUE

21, 1, 56224041, 264616, 52219, TRUE

21, 2, 56127541, 264616, 52359, TRUE

21, 3, 56112273, 264617, 51964, TRUE

21, 4, 56132153, 264616, 52107, TRUE

21, 5, 56080908, 264620, 52109, TRUE

21, 6, 56044196, 264617, 52151, TRUE

21, 7, 56101980, 264617, 52151, TRUE

21, 8, 56025087, 264616, 52219, TRUE

21, 9, 56102328, 264616, 52359, TRUE

21, 10, 56049230, 264618, 52360, TRUE

21, 11, 56094820, 264616, 52360, TRUE

21, 12, 56072790, 264616, 52220, TRUE

21, 13, 56096257, 264616, 52360, TRUE

21, 14, 56112658, 264617, 52358, TRUE

21, 15, 56067573, 264617, 52221, TRUE

21, 16, 56073309, 264615, 52007, TRUE

21, 17, 56058425, 264618, 52360, TRUE

21, 18, 56075141, 264616, 52361, TRUE

21, 19, 56104319, 264617, 52359, TRUE

22, 0, 57130595, 264614, 51952, TRUE

22, 1, 56224041, 264616, 52219, TRUE

22, 2, 56127541, 264616, 52359, TRUE

22, 3, 56112756, 264616, 52108, TRUE

22, 4, 56132153, 264616, 52107, TRUE

22, 5, 56080911, 264621, 52109, TRUE

22, 6, 56044196, 264617, 52151, TRUE

22, 7, 56101980, 264617, 52151, TRUE

22, 8, 56025087, 264616, 52219, TRUE

22, 9, 56102328, 264616, 52359, TRUE

22, 10, 56048731, 264618, 52220, TRUE

22, 11, 56094820, 264616, 52360, TRUE

22, 12, 56072790, 264616, 52220, TRUE

22, 13, 56096257, 264616, 52360, TRUE

22, 14, 56112658, 264617, 52358, TRUE

22, 15, 56067573, 264617, 52221, TRUE

22, 16, 56073309, 264615, 52007, TRUE

22, 17, 56058425, 264618, 52360, TRUE

22, 18, 56075138, 264616, 52360, TRUE

22, 19, 56104319, 264617, 52359, TRUE

23, 0, 57130592, 264613, 51952, TRUE

23, 1, 56224041, 264616, 52219, TRUE

23, 2, 56127541, 264616, 52359, TRUE

23, 3, 56112756, 264616, 52108, TRUE

23, 4, 56132153, 264616, 52107, TRUE

23, 5, 56080908, 264620, 52109, TRUE

23, 6, 56044196, 264617, 52151, TRUE

23, 7, 56101980, 264617, 52151, TRUE

23, 8, 56025087, 264616, 52219, TRUE

23, 9, 56102328, 264616, 52359, TRUE

23, 10, 56048731, 264618, 52220, TRUE

23, 11, 56094817, 264616, 52359, TRUE

23, 12, 56072790, 264616, 52220, TRUE

23, 13, 56096257, 264616, 52360, TRUE

23, 14, 56112658, 264617, 52358, TRUE

23, 15, 56067573, 264617, 52221, TRUE

23, 16, 56073309, 264615, 52007, TRUE

23, 17, 56058425, 264618, 52360, TRUE

23, 18, 56075138, 264616, 52360, TRUE

23, 19, 56104319, 264617, 52359, TRUE

24, 0, 57132000, 264614, 52343, TRUE

24, 1, 56224041, 264616, 52219, TRUE

24, 2, 56127541, 264616, 52359, TRUE

24, 3, 56112756, 264616, 52108, TRUE

24, 4, 56132153, 264616, 52107, TRUE

24, 5, 56080908, 264620, 52109, TRUE

24, 6, 56043713, 264618, 52007, TRUE

24, 7, 56101980, 264617, 52151, TRUE

24, 8, 56025087, 264616, 52219, TRUE

24, 9, 56102328, 264616, 52359, TRUE

24, 10, 56049230, 264618, 52360, TRUE

24, 11, 56094820, 264616, 52360, TRUE

24, 12, 56072790, 264616, 52220, TRUE

24, 13, 56096257, 264616, 52360, TRUE

24, 14, 56112658, 264617, 52358, TRUE

24, 15, 56067573, 264617, 52221, TRUE

24, 16, 56073309, 264615, 52007, TRUE

24, 17, 56058425, 264618, 52360, TRUE

24, 18, 56075141, 264616, 52361, TRUE

24, 19, 56104319, 264617, 52359, TRUE

25, 0, 57131997, 264613, 52343, TRUE

25, 1, 56224041, 264616, 52219, TRUE

25, 2, 56127541, 264616, 52359, TRUE

25, 3, 56112756, 264616, 52108, TRUE

25, 4, 56132153, 264616, 52107, TRUE

25, 5, 56080908, 264620, 52109, TRUE

25, 6, 56043713, 264618, 52007, TRUE

25, 7, 56101980, 264617, 52151, TRUE

25, 8, 56025087, 264616, 52219, TRUE

25, 9, 56102328, 264616, 52359, TRUE

25, 10, 56049230, 264618, 52360, TRUE

25, 11, 56094817, 264616, 52359, TRUE

25, 12, 56072790, 264616, 52220, TRUE

25, 13, 56096257, 264616, 52360, TRUE

25, 14, 56112658, 264617, 52358, TRUE

